,pick_up_hexes,count,day_time
169,89f05ab4abbffff,1732,Night
171,89f05ab4a97ffff,1732,Night
170,89f05ab4e2fffff,1732,Night
168,89f05ab4a87ffff,1732,Night
167,89f05ab4e23ffff,1732,Night
288,89f05ab68cbffff,1663,Night
292,89f05ab6853ffff,1663,Night
291,89f05ab6843ffff,1663,Night
290,89f05ab6ea7ffff,1663,Night
289,89f05ab68dbffff,1663,Night
769,89f05aa6027ffff,1638,Night
771,89f05aa615bffff,1638,Night
770,89f05aa63b7ffff,1638,Night
772,89f05aa63bbffff,1638,Night
773,89f05aa614fffff,1638,Night
768,89f05aa614bffff,1638,Night
767,89f05aa63b3ffff,1638,Night
766,89f05aa63a3ffff,1638,Night
524,89f05ab4b3bffff,1594,Night
533,89f05ab488bffff,1594,Night
534,89f05ab4b93ffff,1594,Night
530,89f05ab4b8fffff,1594,Night
525,89f05ab4b07ffff,1594,Night
526,89f05ab4b83ffff,1594,Night
532,89f05ab4b17ffff,1594,Night
531,89f05ab482bffff,1594,Night
527,89f05ab4b2bffff,1594,Night
528,89f05ab4813ffff,1594,Night
529,89f05ab4803ffff,1594,Night
535,89f05ab483bffff,1594,Night
536,89f05aa6593ffff,1594,Night
581,89f05ab5ba7ffff,1592,Night
579,89f05aa66dbffff,1592,Night
580,89f05aa75b3ffff,1592,Night
584,89f05aa665bffff,1592,Night
583,89f05aa664bffff,1592,Night
582,89f05aa66cbffff,1592,Night
214,89f05ab596bffff,1570,Night
213,89f05ab5973ffff,1570,Night
212,89f05ab5963ffff,1570,Night
211,89f05aa66d3ffff,1570,Night
210,89f05ab590bffff,1570,Night
379,89f05ab6b43ffff,1528,Night
380,89f05ab6b4fffff,1528,Night
299,89f05ab5947ffff,1274,Night
293,89f05ab5d6fffff,1274,Night
297,89f05ab5957ffff,1274,Night
296,89f05ab59d7ffff,1274,Night
295,89f05ab59cfffff,1274,Night
294,89f05ab591bffff,1274,Night
298,89f05ab59c7ffff,1274,Night
36,89f05ab488fffff,1150,Night
31,89f05ab4887ffff,1150,Night
32,89f05ab4823ffff,1150,Night
33,89f05ab4833ffff,1150,Night
34,89f05ab4b97ffff,1150,Night
35,89f05ab48abffff,1150,Night
37,89f05ab4817ffff,1150,Night
38,89f05ab48bbffff,1150,Night
39,89f05ab4807ffff,1150,Night
40,89f05ab4883ffff,1150,Night
41,89f05ab482fffff,1150,Night
42,89f05ab4b87ffff,1150,Night
626,89f05aa6673ffff,1102,Night
621,89f05aa62cfffff,1102,Night
622,89f05aa6663ffff,1102,Night
623,89f05aa661bffff,1102,Night
625,89f05aa660bffff,1102,Night
627,89f05aa66cfffff,1102,Night
624,89f05aa66c7ffff,1102,Night
669,89f05aa7587ffff,1084,Night
667,89f05aa75abffff,1084,Night
668,89f05aa75bbffff,1084,Night
670,89f05aa7533ffff,1084,Night
738,89f05ab592bffff,1061,Night
739,89f05aa669bffff,1061,Night
736,89f05ab593bffff,1061,Night
737,89f05ab5907ffff,1061,Night
710,89f0586b27bffff,1051,Night
717,89f0586b253ffff,1051,Night
709,89f0586b2cbffff,1051,Night
708,89f0586b2c3ffff,1051,Night
711,89f0586b257ffff,1051,Night
712,89f0586b24fffff,1051,Night
713,89f0586b247ffff,1051,Night
714,89f0586b2d3ffff,1051,Night
715,89f0586b243ffff,1051,Night
716,89f0586b2cfffff,1051,Night
707,89f0586b647ffff,1051,Night
718,89f0586b2dbffff,1051,Night
720,89f0586b66bffff,1051,Night
719,89f0586b67bffff,1051,Night
779,89f05ab597bffff,1050,Night
356,89f05aa6647ffff,1040,Night
359,89f05aa6643ffff,1040,Night
360,89f05aa6657ffff,1040,Night
358,89f05aa6653ffff,1040,Night
357,89f05aa664fffff,1040,Night
451,89f05ab5943ffff,1025,Night
450,89f05ab594fffff,1025,Night
449,89f05ab5bb7ffff,1025,Night
470,89f05ab596fffff,1019,Night
472,89f05ab5977ffff,1019,Night
471,89f05aa66d7ffff,1019,Night
469,89f05ab5967ffff,1019,Night
468,89f05aa66c3ffff,1019,Night
474,89f05ab5d07ffff,1007,Night
475,89f05ab5d77ffff,1007,Night
476,89f05ab5d3bffff,1007,Night
477,89f05ab5d67ffff,1007,Night
473,89f05ab599bffff,1007,Night
437,89f05ab41cfffff,994,Night
440,89f05ab417bffff,994,Night
439,89f05ab4157ffff,994,Night
438,89f05ab4147ffff,994,Night
370,89f05aa629bffff,963,Night
371,89f05aa628bffff,963,Night
373,89f05aa6213ffff,963,Night
372,89f05aa6203ffff,963,Night
931,89f05aa444fffff,928,Night
940,89f05aa6257ffff,928,Night
939,89f05aa46a3ffff,928,Night
938,89f05aa627bffff,928,Night
937,89f05aa44cfffff,928,Night
936,89f05aa44cbffff,928,Night
935,89f05aa4453ffff,928,Night
934,89f05aa46b7ffff,928,Night
933,89f05aa4443ffff,928,Night
932,89f05aa626bffff,928,Night
941,89f05aa6247ffff,928,Night
930,89f05aa4457ffff,928,Night
328,89f05ab4b03ffff,911,Night
332,89f05ab4877ffff,911,Night
326,89f05ab4867ffff,911,Night
327,89f05ab4b9bffff,911,Night
329,89f05ab4b13ffff,911,Night
330,89f05ab4b8bffff,911,Night
331,89f05ab480fffff,911,Night
749,89f05ab5b2fffff,882,Night
757,89f05ab5b27ffff,882,Night
756,89f05ab5b37ffff,882,Night
755,89f05ab5bafffff,882,Night
754,89f05aa7597ffff,882,Night
753,89f05ab5bb3ffff,882,Night
752,89f05ab5ba3ffff,882,Night
751,89f05ab5b23ffff,882,Night
750,89f05ab5b33ffff,882,Night
335,89f05aa6263ffff,880,Night
333,89f05aa6273ffff,880,Night
334,89f05aa44d3ffff,880,Night
394,89f05ab6857ffff,828,Night
395,89f05ab68c3ffff,828,Night
396,89f05ab68cfffff,828,Night
397,89f05ab684fffff,828,Night
260,89f05ab4167ffff,778,Night
261,89f05ab4e9bffff,778,Night
462,89f05aa663bffff,710,Night
453,89f05aa6297ffff,710,Night
464,89f05aa66abffff,710,Night
463,89f05aa6287ffff,710,Night
465,89f05aa6607ffff,710,Night
461,89f05aa6687ffff,710,Night
460,89f05aa668fffff,710,Night
454,89f05aa645bffff,710,Night
455,89f05aa6633ffff,710,Night
456,89f05aa6623ffff,710,Night
452,89f05aa662fffff,710,Night
457,89f05aa62bbffff,710,Night
458,89f05aa6617ffff,710,Night
459,89f05aa66bbffff,710,Night
614,89f05ab5bbbffff,705,Night
615,89f05ab5827ffff,705,Night
617,89f05ab58afffff,705,Night
613,89f05ab5babffff,705,Night
618,89f05ab5837ffff,705,Night
619,89f05ab5b87ffff,705,Night
620,89f05ab58a3ffff,705,Night
616,89f05ab5b97ffff,705,Night
408,89f05ab4d7bffff,681,Night
403,89f05ab4d6bffff,681,Night
