,drop_off_hexes,count,day_time
606,89f05ab593bffff,1348,Night
609,89f05aa669bffff,1348,Night
607,89f05ab5907ffff,1348,Night
608,89f05ab592bffff,1348,Night
313,89f05aa606fffff,1322,Night
315,89f05aa6063ffff,1322,Night
314,89f05aa63d7ffff,1322,Night
309,89f05aa6073ffff,1322,Night
310,89f05aa600fffff,1322,Night
312,89f05aa6077ffff,1322,Night
311,89f05aa6067ffff,1322,Night
1659,89f05ab4187ffff,1310,Night
1668,89f05ab4173ffff,1310,Night
1665,89f05ab4177ffff,1310,Night
1664,89f05ab418fffff,1310,Night
1658,89f05ab4117ffff,1310,Night
1666,89f05ab4163ffff,1310,Night
1667,89f05ab410fffff,1310,Night
1661,89f05ab416fffff,1310,Night
1662,89f05ab4183ffff,1310,Night
1663,89f05ab416bffff,1310,Night
1660,89f05ab4103ffff,1310,Night
140,89f05ab596fffff,1308,Night
138,89f05aa66c3ffff,1308,Night
141,89f05aa66d7ffff,1308,Night
142,89f05ab5977ffff,1308,Night
139,89f05ab5967ffff,1308,Night
911,89f05ab6a4bffff,1278,Night
912,89f05ab4527ffff,1278,Night
913,89f05ab6a5bffff,1278,Night
744,89f05ab412fffff,1252,Night
745,89f05ab4e83ffff,1252,Night
743,89f05ab4e8fffff,1252,Night
816,89f05ab41b3ffff,1243,Night
620,89f05aa65dbffff,1243,Night
625,89f05aa64b7ffff,1243,Night
624,89f05ab4b47ffff,1243,Night
623,89f05aa655bffff,1243,Night
621,89f05aa64a7ffff,1243,Night
622,89f05aa65cbffff,1243,Night
619,89f05ab4b7bffff,1243,Night
618,89f05ab4b6bffff,1243,Night
616,89f05aa65d3ffff,1243,Night
617,89f05aa6427ffff,1243,Night
561,89f05ab6853ffff,1219,Night
557,89f05ab68cbffff,1219,Night
558,89f05ab68dbffff,1219,Night
559,89f05ab6ea7ffff,1219,Night
560,89f05ab6843ffff,1219,Night
596,89f05aa456fffff,1216,Night
595,89f05aa4563ffff,1216,Night
594,89f05aa450bffff,1216,Night
593,89f05aa4547ffff,1216,Night
598,89f05aa4573ffff,1216,Night
