,routes,count,day_time
68,89f05aa660fffff**89f05aa6603ffff**89f05aa62d7ffff**89f05aa668bffff**89f05aa666fffff**89f05aa6613ffff,447,Night
87,89f05aa4477ffff,391,Night
77,89f05ab6c8bffff**89f05ab6c17ffff**89f05ab6c03ffff**89f05ab6c8fffff**89f05ab6cbbffff**89f05ab6c83ffff**89f05ab6c07ffff**89f05ab680bffff**89f05ab6c0fffff**89f05ab6c6fffff**89f05ab6c93ffff**89f0587922fffff**89f05ab68d7ffff**89f05ab681bffff**89f05ab68c7ffff**89f05ab6c67ffff**89f05ab6c87ffff**89f05ab6c77ffff,387,Night
93,89f05ab4d43ffff**89f05ab48b7ffff**89f05ab4d4fffff,380,Night
48,89f05aa6073ffff**89f05aa600fffff**89f05aa6067ffff**89f05aa6077ffff**89f05aa606fffff**89f05aa63d7ffff**89f05aa6063ffff,348,Night
105,89f05aa6a9bffff**89f05aa6a93ffff**89f05aa4c13ffff**89f05aa6a17ffff**89f05aa6a8bffff**89f05aa6a77ffff**89f05aa6ac7ffff**89f05aa6a8fffff**89f05aa6a03ffff**89f05aa6a2bffff**89f05aa4c93ffff**89f05aa6a1bffff**89f05aa6a07ffff**89f05aa6a67ffff**89f05aa6a3bffff**89f05aa4c8bffff**89f05aa6a0fffff**89f05aa4cd7ffff**89f05aa6a13ffff**89f05aa6a73ffff**89f05aa6a0bffff**89f05aa6a83ffff**89f05aa6a6fffff**89f05aa4c9bffff**89f05aa6a63ffff**89f05aa4c83ffff**89f05aa6e67ffff,327,Night
110,89f05aa752fffff**89f05aa7113ffff**89f05aa7193ffff**89f05aa7197ffff**89f05aa7183ffff**89f05aa7187ffff**89f05aa710fffff**89f05aa718bffff**89f05aa71bbffff**89f05aa7177ffff**89f05aa7107ffff**89f05aa7103ffff**89f05aa7117ffff**89f05aa718fffff,309,Night
96,89f05ab4c8fffff**89f05ab4c17ffff**89f05ab4c83ffff,295,Night
106,89f05aa624bffff**89f05aa625bffff**89f05aa71b3ffff**89f05aa7527ffff,272,Night
65,89f05ab4b2fffff**89f05ab4b33ffff**89f05ab4bb3ffff**89f05ab4b23ffff**89f05ab4bbbffff**89f05ab494bffff**89f05ab4babffff,271,Night
126,89f05aa412fffff**89f05aa4e97ffff**89f05aa4e8fffff**89f05aa413bffff**89f05aa4ebbffff**89f05aa4e87ffff**89f05aa4117ffff**89f05aa412bffff**89f05aa4107ffff**89f05aa4e83ffff**89f05aa4e93ffff,262,Night
117,89f05ab4943ffff**89f058696cbffff**89f05ab4b37ffff**89f05ab4ba3ffff**89f05869653ffff**89f058696dbffff**89f05ab4ba7ffff**89f05869643ffff**89f05ab494fffff**89f05ab4bb7ffff**89f05ab4b27ffff**89f05ab4bafffff,232,Night
80,89f05aa6533ffff**89f05aa65abffff**89f05aa61bbffff**89f05aa65bbffff**89f05aa61a3ffff**89f05aa6587ffff**89f05aa6527ffff**89f0586924fffff**89f05aa6597ffff**89f05aa65afffff**89f05aa6197ffff**89f05aa61b7ffff**89f058692dbffff**89f05aa61abffff**89f05aa6123ffff**89f05869243ffff**89f05aa6133ffff**89f05869253ffff**89f05aa65a7ffff**89f05aa652fffff**89f0586925bffff**89f05aa61a7ffff**89f05aa6523ffff**89f05aa61afffff**89f0586924bffff**89f05aa6cdbffff**89f05aa65b7ffff**89f0586927bffff**89f05aa6ccbffff**89f058696c3ffff**89f05aa61b3ffff**89f058696cfffff**89f05aa612fffff**89f05869247ffff**89f05aa6187ffff**89f0586964fffff,224,Night
66,89f05aa6a47ffff**89f05aa6e6fffff**89f05aa6e6bffff**89f05aa6e77ffff**89f05aa6a57ffff**89f05aa6a7bffff**89f05aa6acfffff**89f05aa6ad7ffff**89f05aa6e1bffff**89f05aa6e63ffff**89f05aa6e7bffff**89f05aa6e0bffff**89f05aa6a6bffff**89f05aa6ad3ffff**89f05aa6ac3ffff**89f05aa6e73ffff,223,Night
98,89f05ab4e8bffff,222,Night
139,89f05ab6a2bffff,209,Night
123,89f05aa4003ffff**89f05aa40c3ffff**89f05aa430fffff**89f05aa408bffff**89f05aa4467ffff**89f05aa4473ffff**89f05aa400fffff**89f05aa43d7ffff**89f05aa4057ffff**89f05aa4303ffff**89f05aa4047ffff**89f05aa4013ffff**89f05aa40d3ffff**89f05aa4463ffff**89f05aa4073ffff**89f05aa4063ffff**89f05aa409bffff**89f05aa401bffff**89f05aa447bffff**89f05aa446bffff**89f05aa442bffff**89f05aa4093ffff**89f05aa40d7ffff**89f05aa438bffff**89f05aa446fffff**89f05aa4313ffff**89f05aa400bffff**89f05aa40c7ffff**89f05aa406fffff,191,Night
104,89f05ab6b1bffff**89f05ab6b0bffff**89f05ab6bcfffff**89f05ab6b47ffff**89f05ab6b57ffff**89f05ab6bc7ffff**89f05ab6bc3ffff,187,Night
